has_title,has_input,has_button,has_image,has_submit,has_link,has_password,has_email_input,has_hidden_element,has_audio,has_video,number_of_inputs,number_of_buttons,number_of_images,number_of_option,number_of_list,number_of_th,number_of_tr,number_of_href,number_of_paragraph,number_of_script,length_of_title,URL,label
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,19,https://vortexs.cfd/SZOK5e,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,19,https://www.neonflaretech.cfd/aacmsxilumtdXhtxkcmdnc,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,19,https://www.sparkfusionhub.cfd/SZOK5e,1
1,1,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,11,4,6,14,https://only-transparency-700314.framer.app/,1
1,1,1,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,11,7,7,14,https://sparkly-shower-937211.framer.app/,1
1,1,1,0,0,1,0,0,0,0,0,1,4,0,0,1,0,0,22,8,54,41,https://exodsldoggin.gitbook.io/us,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,19,https://backup-centre-exodus-us.vercel.app/web.html,1
0,0,1,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,9,8,38,0,https://tinu.be/Urg1DPD0R1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,19,https://bankdgop.top/,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,19,http://bankdgop.top,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,19,https://cortexr.cfd/F7pUi5,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,19,https://gcupu.skyboltzone.cfd/gardxzb0xj5vMf6iwt69ht,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,19,https://gdtgu.skyboltzone.cfd/gardxzb0xj5vMf6iwt69ht,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,19,https://gjrcc.skyboltzone.cfd/gardxzb0xj5vMf6iwt69ht,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,19,https://gkrma.skyboltzone.cfd/gardxzb0xj5vMf6iwt69ht,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,19,https://gsibi.skyboltzone.cfd/gardxzb0xj5vMf6iwt69ht,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,19,https://gtkci.skyboltzone.cfd/gardxzb0xj5vMf6iwt69ht,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,19,https://hdifg.skyboltzone.cfd/gardxzb0xj5vMf6iwt69ht,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,19,https://hgmtp.skyboltzone.cfd/gardxzb0xj5vMf6iwt69ht,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,19,https://hinnf.skyboltzone.cfd/gardxzb0xj5vMf6iwt69ht,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,19,https://hjlct.skyboltzone.cfd/gardxzb0xj5vMf6iwt69ht,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,19,https://hlaly.skyboltzone.cfd/gardxzb0xj5vMf6iwt69ht,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,19,https://hovqo.skyboltzone.cfd/gardxzb0xj5vMf6iwt69ht,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,19,https://hrupu.skyboltzone.cfd/gardxzb0xj5vMf6iwt69ht,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,19,https://hvikh.skyboltzone.cfd/gardxzb0xj5vMf6iwt69ht,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,19,https://hvrnx.skyboltzone.cfd/gardxzb0xj5vMf6iwt69ht,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,19,https://HWVQB.skyboltzone.cfd/gardxzb0xj5vMf6iwt69ht,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,19,https://hyfvo.skyboltzone.cfd/gardxzb0xj5vMf6iwt69ht,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,19,https://iajrt.skyboltzone.cfd/gardxzb0xj5vMf6iwt69ht,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,19,https://icuqo.skyboltzone.cfd/gardxzb0xj5vMf6iwt69ht,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,19,https://idjpp.skyboltzone.cfd/gardxzb0xj5vMf6iwt69ht,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,19,https://igizw.skyboltzone.cfd/gardxzb0xj5vMf6iwt69ht,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,19,https://ilimy.skyboltzone.cfd/gardxzb0xj5vMf6iwt69ht,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,19,https://IMBJR.skyboltzone.cfd/gardxzb0xj5vMf6iwt69ht,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,19,https://injyu.skyboltzone.cfd/gardxzb0xj5vMf6iwt69ht,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,19,https://ishuj.skyboltzone.cfd/gardxzb0xj5vMf6iwt69ht,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,19,https://ispzu.skyboltzone.cfd/gardxzb0xj5vMf6iwt69ht,1
